customerReviewAverage,customerReviewCount,manufacturer,name,onlineAvailability,regularPrice,salePrice,upc
,,Acer,"Acer - 15.6"" Chromebook - Intel Core i5 - 4GB Memory - 32GB Solid State Drive - Black",True,509.99,509.99,888863096855
,,Acer,"Acer - 15.6"" Refurbished Laptop - Intel Celeron - 4GB Memory - 500GB Hard Drive - Red",False,259.99,259.99,814930020294
4.0,1.0,Acer,"Acer - 15.6"" Refurbished Laptop - Intel Pentium - 4GB Memory - 500GB Hard Drive - Black",False,279.99,279.99,814930021055
4.0,3.0,Acer,"Acer - 2-in-1 11.6"" Touch-Screen Chromebook - Intel Celeron - 4GB Memory - 32GB Solid State Drive - Black",True,349.0,349.0,888863475520
4.2,25.0,Acer,"Acer - 15.6"" Refurbished Chromebook - Intel Celeron - 4GB Memory - 16GB Solid State Drive - White",False,181.99,181.99,841631101601
4.5,1522.0,Acer,"Acer - R 11 2-in-1 11.6"" Touch-Screen Chromebook - Intel Celeron - 4GB Memory - 16GB eMMC Flash Memory - White",True,279.0,249.0,888863714155
,,Acer,"Acer - 14 for Work 14"" Chromebook - Intel Core i3 - 4GB Memory - 32GB eMMC Flash Memory - Black, Silver",True,490.99,490.99,888863679393
1.0,1.0,Acer,"Acer - Chromebook 14"" Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - Sparkly silver",True,329.0,305.99,888863818631
4.5,6.0,Acer,"Acer - TravelMate 11.6"" Laptop - Intel Celeron - 4GB Memory - 128GB Solid State Drive - Black",False,314.99,314.99,888863760572
4.0,5.0,Acer,"Acer - R 13 2-in-1 13.3"" Touch-Screen Chromebook - MT8173 - 4GB Memory - 64GB eMMC Flash Memory - Sparkly silver",True,449.0,417.99,888863868568
,,Acer,"Acer - Aspire S 13 13.3"" Laptop - Intel Core i3 - 4GB Memory - 128GB Solid State Drive - Black",True,582.99,582.99,888863750108
4.4,145.0,Acer,"Acer - R 13 2-in-1 13.3"" Touch-Screen Chromebook - MT8173 - 4GB Memory - 32GB eMMC Flash Memory - Sparkly silver",True,399.0,399.0,888863852499
4.2,22.0,Acer,"Acer - R 11 2-in-1 11.6"" Refurbished Touch-Screen Chromebook - Intel Celeron - 4GB Memory - 16GB eMMC Flash Memory - White",True,189.99,189.99,841631112096
,,Acer,"Acer - R 13 2-in-1 13.3"" Touch-Screen Chromebook - MT8173 - 4GB Memory - 64GB eMMC Flash Memory - Sparkly Silver",True,439.99,439.99,888863868551
,,Acer,"Acer - TravelMate 15.6"" Laptop - Intel Core i3 - 4GB Memory - 128GB Solid State Drive - Black",False,535.99,535.99,888863968763
,,Acer,"Acer - TravelMate 14"" Laptop - Intel Core i3 - 4GB Memory - 128GB Solid State Drive - Black",False,600.99,600.99,888863968732
2.7,3.0,Acer,"Acer - 2-in-1 14"" Refurbished Touch-Screen Laptop - Intel Core i7 - 8GB Memory - 256GB Solid State Drive - Shale black",False,894.99,894.99,841631114434
4.6,5.0,Acer,"Acer - R 13 2-in-1 13.3"" Refurbished Touch-Screen Chromebook - MT8173 - 4GB Memory - 32GB eMMC Flash Memory - Sparkly silver",False,329.0,329.0,841631114564
,,Acer,"Acer - 2-in-1 15.6"" Refurbished Touch-Screen Laptop - Intel Core i7 - 12GB Memory - NVIDIA GeForce 940MX - 1TB Hard Drive - Steel gray",False,745.99,745.99,841631114557
,,Acer,"Acer - 14"" Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Black",True,849.99,834.99,191114059760
,,Acer,"Acer - 2-in-1 15.6"" Touch-Screen Laptop - Intel Core i7 - 8GB Memory - 1TB Hard Drive + 128GB Solid State Drive - Obsidian Black",False,785.17,785.17,888863987610
5.0,1.0,Acer,"Acer - Predator 17 17.3"" 4K Ultra HD Laptop - Intel Core i7 - 32GB Memory - NVIDIA GeForce GTX 1080 - 512GB SSD + 1TB HDD - Black",True,2999.99,2999.99,191114064283
5.0,1.0,Acer,"Acer - Predator 15 15.6"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1070 - 256GB SSD + 1TB HDD - Black",False,1999.99,1791.99,191114036778
,,Acer,"Acer - TravelMate 15.6"" Laptop - Intel Core i7 - 8GB Memory - 256GB Solid State Drive - Black",True,939.99,939.99,191114059869
,,Acer,"Acer - 14"" Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Steel gray",True,819.99,819.99,888863930524
,,Acer,"Acer - Spin 11 2-in-1 11.6"" Touch-Screen Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - Obsidian Black",False,417.99,417.99,191114249383
,,Acer,"Acer - Spin 5 2-in-1 13.3"" Touch-Screen Laptop - Intel Core i3 - 4GB Memory - 128GB Solid State Drive - Obsidian Black",True,500.99,500.99,191114046494
,,Acer,"Acer - 2-in-1 15.6"" Refurbished Touch-Screen Laptop - Intel Core i7 - 12GB Memory - 1TB Hard Drive - Black",False,599.99,599.99,841631116179
,,Acer,"Acer - Aspire S 13 13.3"" Refurbished Touch-Screen Laptop - Intel Core i7 - 8GB Memory - 256GB Solid State Drive - Black",False,699.99,699.99,841631114908
,,Acer,"Acer - 17.3"" Refurbished 4K Ultra HD Laptop - Intel Core i7 - 64GB Memory - NVIDIA GeForce GTX 1070 - 2TB HDD + 512GB SSD - Black",False,2289.99,2289.99,841631114670
3.6,14.0,Acer,"Acer - 2-in-1 11.6"" Refurbished Touch-Screen Laptop - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - Black, turqouise blue",True,229.99,175.99,841631116551
,,Acer,"Acer - 15.6"" Chromebook - Intel Celeron - 4GB Memory - 16GB eMMC Flash Memory - Granite Gray",True,255.99,255.99,191114181003
,,Acer,"Acer - 14"" Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Black",False,999.99,999.99,888863610167
,,Acer,"Acer - 14"" Laptop - Intel Core i7 - 8GB Memory - 256GB Solid State Drive - Black",True,949.99,850.99,191114059838
,,Acer,"Acer - 14"" Laptop - Intel Core i7 - 8GB Memory - 512GB Solid State Drive - Steel gray",False,1049.99,1049.99,888863930531
3.0,5.0,Acer,"Acer - Predator Helios 300 15.6"" Laptop - Intel Core i7 - 16GB Memory-NVIDIA GeForce GTX 1060-1TB HD+256GB Solid State Drive - Black",False,1399.99,1399.99,191114286456
1.8,14.0,Acer,"Acer - Aspire R 15 2-in-1 15.6"" Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Steel Gray",True,799.99,744.99,191114297803
5.0,1.0,Acer,"Acer - 15.6"" Refurbished Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1060 - 1TB HDD + 256GB SSD - Black",False,1242.99,1242.99,841631116131
1.0,1.0,Acer,"Acer - 11.6"" Refurbished Chromebook - Intel Celeron - 4GB Memory - 16GB eMMC Flash Memory - Gray",True,189.0,189.0,841631116568
,,Acer,"Acer - Aspire R 11 2-in-1 11.6"" Refurbished Touch-Screen Laptop - Intel Celeron - 4GB Memory - 64GB eMMC Flash Memory - Black, red",False,229.99,229.99,841631113864
,,Acer,"Acer - Aspire 3 15.6"" Laptop - Intel Pentium - 4GB Memory - 1TB Hard Drive - Obsidian Black",False,344.99,344.99,191114379943
,,Acer,"Acer - TravelMate 15.6"" Laptop - Intel Core i7 - 8GB Memory - NVIDIA GeForce 940M - 256GB Solid State Drive - Black",True,1187.99,1187.99,888863691333
4.6,385.0,Acer,"Acer - 15.6"" Touch-Screen Chromebook - Intel Pentium - 4GB Memory - 32GB eMMC Flash Memory - Pure silver",True,399.0,319.99,191114456316
,,Acer,"Acer - 15.6"" Laptop - Intel Core i5 - 16GB Memory - NVIDIA GeForce GTX 1050 Ti - 256GB Solid State Drive - Black",True,899.99,899.99,191114331613
4.5,4.0,Acer,"Acer - Chromebook 14"" Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - Sparkly silver",True,299.0,284.99,888863602995
5.0,1.0,Acer,"Acer - 15.6"" Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce GTX 1050 - 256GB Solid State Drive - Black",False,799.99,799.99,191114273364
,,Acer,"Acer - 2-in-1 11.6"" Touch-Screen Laptop - Intel Pentium - 4GB Memory - 64GB eMMC Flash Memory - Gray",True,429.99,429.99,191114485675
,,Acer,"Acer - Spin 5 2-in-1 13.3"" Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Steel Gray",True,940.99,940.99,191114433652
,,Acer,"Acer - TravelMate Spin B1 2-in-1 11.6"" Touch-Screen Laptop - Intel Celeron - 4GB Memory - 64GB eMMC Flash Memory - Black",True,312.99,312.99,191114383971
3.0,3.0,Acer,"Acer - Spin 1 2-in-1 11.6"" Refurbished Touch-Screen Laptop - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - Obsidian black",True,289.99,289.99,841631119866
,,Acer,"Acer - 2-in-1 15.6"" Refurbished Touch-Screen Laptop - Intel Core i7 - 12GB Memory - NVIDIA GeForce 940MX - 256GB SSD - Steel gray",True,703.99,703.99,841631118906
5.0,1.0,Acer,"Acer - Refurbished One 10 - 10.1"" - Tablet - 32GB - With Keyboard - Shale black",False,155.99,155.99,841631120244
,,Acer,"Acer - Swift 3 14"" Refurbished Laptop - Intel Core i3 - 4GB Memory - 128GB Solid State Drive - Sparkly silver",False,465.99,465.99,841631118876
4.5,4.0,Acer,"Acer - Chromebook 14"" Refurbished Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - Sparkly silver",True,259.0,186.0,841631120251
4.3,7.0,Acer,"Acer - Aspire 3 15.6"" Refurbished Laptop - AMD A9-Series - 6GB Memory - AMD Radeon R5 - 1TB Hard Drive - Obsidian black",True,341.99,258.99,841631120459
,,Acer,"Acer - Spin 11 2-in-1 11.6"" Refurbished Touch-Screen Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - Obsidian black",True,361.0,286.0,841631120749
4.5,179.0,Acer,"Acer - 15.6"" Chromebook - Intel Celeron - 4GB Memory - 16GB eMMC Flash Memory - Granite Gray",True,199.0,199.0,191114570975
,,Acer,"Acer - Aspire 3 15.6"" Laptop - Intel Celeron - 4GB Memory - 1TB Hard Drive - Oxidant Red",True,332.99,332.99,191114456880
,,Acer,"Acer - 15.6"" Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce MX150 - 1TB Hard Drive + 256GB Solid State Drive - Obsidian Black",True,683.13,683.13,191114515051
,,Acer,"Acer - Aspire 5 15.6"" Laptop - Intel Core i5 - 8GB Memory - 1TB Hard Drive - Obsidian Black",False,573.99,573.99,191114515204
,,Acer,"Acer - Aspire 3 15.6"" Laptop - Intel Celeron - 4GB Memory - 1TB Hard Drive - Obsidian Black",True,302.09,302.09,191114379905
,,Acer,"Acer - Aspire 5 17.3"" Laptop - Intel Core i3 - 8GB Memory - 1TB Hard Drive - Obsidian Black",True,501.36,501.36,191114476277
,,Acer,"Acer - Swift 5 14"" Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 512GB Solid State Drive - Blue",True,1399.99,1302.99,191114450635
,,Acer,"Acer - R 11 2-in-1 11.6"" Touch-Screen Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - Black",True,345.99,345.99,191114094785
,,Acer,"Acer - Switch 5 2-in-1 12"" Refurbished Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Gray",True,652.99,604.99,841631121036
5.0,2.0,Acer,"Acer - 15.6"" Refurbished Chromebook - Intel Celeron - 2GB Memory - 16GB eMMC Flash Memory - Granite Gray",True,177.0,152.0,841631122903
,,Acer,"Acer - Aspire 1 14"" Refurbished Laptop - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - Obsidian Black",False,177.99,177.99,841631121166
5.0,1.0,Acer,"Acer - Spin 5 2-in-1 13.3"" Refurbished Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Steel Gray",True,654.99,550.99,841631121906
5.0,1.0,Acer,"Acer - Swift 3 14"" Refurbished Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce MX150 - 256GB Solid State Drive - Sparkly Silver",True,724.99,724.99,841631121371
3.7,7.0,Acer,"Acer - 17.3"" Refurbished Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1060 - 1TB HDD + 256GB SSD - Shale Black",True,1086.99,997.99,841631120992
5.0,1.0,Acer,"Acer - 17.3"" Refurbished Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1070 - 1TB HDD + 256GB SSD - Black",True,1499.99,1360.99,841631118784
5.0,3.0,Acer,"Acer - Aspire 5 15.6"" Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Obsidian Black",True,599.99,599.99,191114485613
,,Acer,"Acer - Nitro 5 15.6"" Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce GTX 1050 Ti - 1TB Hard Drive - Black",True,749.99,749.99,191114303917
3.9,61.0,Acer,"Acer - Nitro 5 15.6"" Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce GTX 1050 Ti - 256GB Solid State Drive - Black",True,799.99,599.99,191114456491
4.6,63.0,Acer,"Acer - Spin 11 2-in-1 11.6"" Touch-Screen Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - Sparkly Silver",True,349.0,319.0,191114652398
4.3,118.0,Acer,"Acer - Nitro 5 15.6"" Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce GTX 1050 - 1TB Hard Drive - Shale Black",True,719.99,649.99,191114661963
4.6,125.0,Acer,"Acer - Nitro 5 15.6"" Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce GTX 1050 Ti - 256GB Solid State Drive - Shale Black",True,799.99,729.99,191114667897
,,Acer,"Acer - 15.6"" Refurbished Touch-Screen Chromebook - Intel Pentium - 4GB Memory - 32GB eMMC Flash Memory - Pure Silver",True,294.0,294.0,841631122200
,,Acer,"Acer - Aspire 3 15.6"" Laptop - Intel Core i5 - 6GB Memory - 1TB Hard Drive - Blue Stone",False,534.99,534.99,191114562123
,,Acer,"Acer - Switch Alpha 2-in-1 12"" Touch-Screen Laptop - Intel Core i7 - 8GB Memory - 256GB Solid State Drive - Gray",True,776.99,776.99,888863793112
,,Acer,"Acer - Switch 5 2-in-1 12"" Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Gray",True,789.99,789.99,191114347201
4.3,33.0,Acer,"Acer - Spin 15 2-in-1 15.6"" Touch-Screen Chromebook - Intel Pentium - 4GB Memory - 64GB Solid State Drive - Sparkly Silver",True,449.0,449.0,191114652404
,,Acer,"Acer - Aspire 3 15.6"" Laptop - Intel Core i3 - 4GB Memory - 1TB Hard Drive - Blue Stone",False,433.99,433.99,191114560839
,,Acer,"Acer - Aspire 3 15.6"" Laptop - Intel Core i3 - 4GB Memory - 1TB Hard Drive - Obsidian Black",True,405.99,405.99,191114560815
,,Acer,"Acer - Swift 1 13.3"" Laptop - Intel Pentium - 4GB Memory - 64GB eMMC Flash Memory - Pure Silver",True,327.52,327.52,191114550533
,,Acer,"Acer - 11.6"" Touch-Screen Chromebook - Intel Core i5 - 8GB Memory - 64GB eMMC Flash Memory - Black",False,540.99,540.99,191114468289
,,Acer,"Acer - Aspire 3 15.6"" Laptop - AMD Ryzen 7 - 8GB Memory - AMD Radeon RX Vega 10 - 256GB Solid State Drive - Obsidian Black",True,699.99,699.99,191114639832
,,Acer,"Acer - Aspire 7 15.6"" Laptop - Intel Core i7 - 8GB Memory - NVIDIA GeForce GTX 1050 - 1TB Hard Drive - Obsidian Black",False,899.99,899.99,191114716694
,,Acer,"Acer - Predator Triton 700 15.6"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1060 - 512GB Solid State Drive - Teal Blue",True,1999.99,1999.99,191114378236
,,Acer,"Acer - 15.6"" Laptop - Intel Core i7 - 8GB Memory - NVIDIA GeForce GTX 1050 Ti - 1TB Hard Drive - Black",True,949.99,949.99,191114807200
,,Acer,"Acer - 15.6"" Laptop - Intel Core i7 - 12GB Memory - NVIDIA GeForce GTX 1050 Ti - 1TB Hard Drive + 128GB Solid State Drive - Black",True,999.99,929.99,191114667910
4.7,21.0,Acer,"Acer - Nitro 5 15.6"" Laptop - AMD Ryzen 5 - 8GB Memory - AMD Radeon RX 560X - 256GB Solid State Drive - Shale Black",True,719.99,719.99,191114794623
,,Acer,"Acer - Swift 3 14"" Laptop - Intel Core i7 - 8GB Memory - 512GB Solid State Drive - Sparkly Silver",True,758.15,758.15,888863929412
,,Acer,"Acer - Switch V 10 2-in-1 10.1"" Touch-Screen Laptop - Intel Atom x5 - 4GB Memory - 64GB eMMC Flash Memory - Shale Black",True,369.99,369.99,888863922284
,,Acer,"Acer - Swift 3 14"" Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Stellar Blue",True,649.99,649.99,191114451137
,,Acer,"Acer - Spin 1 2-in-1 11.6"" Touch-Screen Laptop - Intel Celeron - 4GB Memory - 64GB eMMC Flash Memory - Gray",True,329.99,329.99,191114458631
,,Acer,"Acer - Swift 3 14"" Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Sakura Pink",True,649.99,649.99,191114451144
,,Acer,"Acer - Aspire 5 17.3"" Laptop - Intel Core i5 - 8GB Memory - 1TB Hard Drive - Obsidian Black",True,579.99,579.99,191114379950
,,Acer,"Acer - 11.6"" Touch-Screen Chromebook - Intel Core i3 - 4GB Memory - 32GB eMMC Flash Memory - Black",True,429.0,429.0,191114470947
,,Acer,"Acer - 15.6"" Laptop - AMD FX - 16GB Memory - AMD Radeon RX 540 - 1TB Hard Drive + 256GB Solid State Drive - Obsidian Black",False,749.99,749.99,191114565308
