upc,customerReviewAverage,customerReviewCount,inStoreAvailability,manufacturer,name,onlineAvailability,regularPrice,salePrice
400060096645,4.7,1568,TRUE,Apple,Apple - iPhone X 256GB - Space Gray (AT&T),TRUE,1199.99,1199.99
400060096713,4.7,1568,TRUE,Apple,Apple - iPhone X 256GB - Silver (AT&T),TRUE,1199.99,1199.99
400060097734,4.8,741,TRUE,Apple,Apple - iPhone X 256GB - Space Gray (Sprint),FALSE,1199.99,1199.99
400060097796,4.8,741,TRUE,Apple,Apple - iPhone X 256GB - Silver (Sprint),FALSE,1199.99,1199.99
400060098878,4.8,1233,TRUE,Apple,Apple - iPhone X 256GB - Space Gray (Verizon),TRUE,1199.99,1199.99
400060098939,4.8,1233,TRUE,Apple,Apple - iPhone X 256GB - Silver (Verizon),TRUE,1199.99,1199.99
400060099011,4.7,969,TRUE,Apple,Apple - iPhone X 64GB - Space Gray (Verizon),TRUE,1049.99,1049.99
400060099073,4.7,969,TRUE,Apple,Apple - iPhone X 64GB - Silver (Verizon),TRUE,1049.99,1049.99
400060096805,4.8,1133,TRUE,Apple,Apple - iPhone X 64GB - Space Gray (AT&T),TRUE,1049.99,1049.99
400060096867,4.8,1133,TRUE,Apple,Apple - iPhone X 64GB - Silver (AT&T),TRUE,1049.99,1049.99
400060097871,4.8,881,TRUE,Apple,Apple - iPhone X 64GB - Space Gray (Sprint),FALSE,1049.99,1049.99
400060097925,4.8,881,TRUE,Apple,Apple - iPhone X 64GB - Silver (Sprint),FALSE,1049.99,1049.99
400055804316,4.8,1288,TRUE,Apple,Apple - iPhone 8 Plus 256GB - (PRODUCT)RED䋢 Special Edition (AT&T),TRUE,999.99,999.99
400055809120,4.8,625,TRUE,Apple,Apple - iPhone 8 Plus 256GB - (PRODUCT)RED䋢 Special Edition (Sprint),FALSE,999.99,999.99
400055816210,4.8,1155,TRUE,Apple,Apple - iPhone 8 Plus 256GB - (PRODUCT)RED䋢 Special Edition (Verizon),TRUE,999.99,999.99
400060096386,4.8,1288,TRUE,Apple,Apple - iPhone 8 Plus 256GB - Space Gray (AT&T),TRUE,999.99,999.99
400060096393,4.8,1288,TRUE,Apple,Apple - iPhone 8 Plus 256GB - Gold (AT&T),TRUE,999.99,999.99
400060096447,4.8,1288,TRUE,Apple,Apple - iPhone 8 Plus 256GB - Silver (AT&T),TRUE,999.99,999.99
400060097475,4.8,625,TRUE,Apple,Apple - iPhone 8 Plus 256GB - Space Gray (Sprint),FALSE,999.99,999.99
400060097482,4.8,625,TRUE,Apple,Apple - iPhone 8 Plus 256GB - Gold (Sprint),FALSE,999.99,999.99
400060097536,4.8,625,TRUE,Apple,Apple - iPhone 8 Plus 256GB - Silver (Sprint),FALSE,999.99,999.99
400060098571,4.8,1155,TRUE,Apple,Apple - iPhone 8 Plus 256GB - Space Gray (Verizon),TRUE,999.99,999.99
400060098595,4.8,1155,TRUE,Apple,Apple - iPhone 8 Plus 256GB - Gold (Verizon),TRUE,999.99,999.99
400060098632,4.8,1155,TRUE,Apple,Apple - iPhone 8 Plus 256GB - Silver (Verizon),TRUE,999.99,999.99
887276230665,4.8,794,TRUE,Samsung,Samsung - Galaxy Note8 64GB - Orchid Gray (Sprint),FALSE,999.99,999.99
887276226217,4.8,794,TRUE,Samsung,Samsung - Galaxy Note8 64GB - Midnight Black (Sprint),FALSE,999.99,999.99
887276230658,4.8,794,TRUE,Samsung,Samsung - Galaxy Note8 64GB - Deepsea Blue (Sprint),FALSE,999.99,999.99
842776101495,4.5,68,TRUE,Google,Google - Pixel 2 XL 128GB - Black & White (Verizon),FALSE,949.99,949.99
842776101488,4.5,68,TRUE,Google,Google - Pixel 2 XL 128GB - Just Black (Verizon),TRUE,949.99,949.99
887276226736,4.8,672,TRUE,Samsung,Samsung - Galaxy Note8 64GB - Midnight Black (AT&T),TRUE,949.99,949.99
887276233314,4.8,672,TRUE,Samsung,Samsung - Galaxy Note8 64GB - Orchid Gray (AT&T),TRUE,949.99,949.99
887276233321,4.8,672,TRUE,Samsung,Samsung - Galaxy Note8 64GB - Deepsea Blue (AT&T),TRUE,949.99,949.99
887276245775,4.8,544,TRUE,Samsung,Samsung - Galaxy S9+ 64GB - Midnight Black (Sprint),FALSE,949.99,949.99
887276255163,4.8,544,TRUE,Samsung,Samsung - Galaxy S9+ 64GB - Coral Blue (Sprint),FALSE,949.99,949.99
887276255156,4.8,544,TRUE,Samsung,Samsung - Galaxy S9+ 64GB - Lilac Purple (Sprint),FALSE,949.99,949.99
887276282367,4.8,544,TRUE,Samsung,Samsung - Galaxy S9+ 64GB - Sunrise Gold (Sprint),FALSE,949.99,949.99
887276224107,4.8,1793,TRUE,Samsung,Samsung - Galaxy Note8 64GB - Midnight Black (Verizon),TRUE,936,936
887276231259,4.8,1793,TRUE,Samsung,Samsung - Galaxy Note8 64GB - Orchid Gray (Verizon),TRUE,936,936
887276231150,4.8,1793,TRUE,Samsung,Samsung - Galaxy Note8 64GB - Deepsea Blue (Verizon),TRUE,936,936
887276254364,4.7,27,TRUE,Samsung,Samsung - Galaxy S9+ 64GB - Sunrise Gold (AT&T),TRUE,914.99,914.99
887276248035,4.8,659,TRUE,Samsung,Samsung - Galaxy S9+ 64GB - Midnight Black (AT&T),TRUE,914.99,914.99
887276254357,4.8,659,TRUE,Samsung,Samsung - Galaxy S9+ 64GB - Coral Blue (AT&T),TRUE,914.99,914.99
887276254371,4.8,659,TRUE,Samsung,Samsung - Galaxy S9+ 64GB - Lilac Purple (AT&T),TRUE,914.99,914.99
887276255880,4.8,1252,TRUE,Samsung,Samsung - Galaxy S9+ 64GB - Lilac Purple (Verizon),TRUE,912,912
